id	filename	md5	size	state
42148045-2046-4408-8b95-32d1fe28a0a6	42148045-2046-4408-8b95-32d1fe28a0a6/a27e346a-62c6-4af9-a0f5-f90c82949431.wxs.aliquot_ensemble_masked.maf.gz	78e0ca17454aa4e546c85ae643f1bf38	6376	validated
430be64b-06dc-477b-9864-583a5920c184	430be64b-06dc-477b-9864-583a5920c184/2b9f3b4a-fba9-4db0-a5d0-6450ff987b57.wxs.aliquot_ensemble_masked.maf.gz	132ef732286e1ef01e19de060d3a26dc	19911	validated
44b66253-9fea-41ac-84ad-7383165beddb	44b66253-9fea-41ac-84ad-7383165beddb/04fad6c7-be33-40ff-b73b-de4c3a916dd1.wxs.aliquot_ensemble_masked.maf.gz	4b2e49a63c99bf147860b2c7639cc6e2	23065	validated
4519f138-a8b5-4cea-9cfc-75a9f304b65a	4519f138-a8b5-4cea-9cfc-75a9f304b65a/54438d67-4d20-4266-8015-116771f15f8e.wxs.aliquot_ensemble_masked.maf.gz	d2a096e1ad0ea3b9b4e08e600faa6c07	25458	validated
4599faa0-1378-41f2-8169-8ea8decb0fe9	4599faa0-1378-41f2-8169-8ea8decb0fe9/2388ac56-dc30-4849-b8a4-2c9ca4e15604.wxs.aliquot_ensemble_masked.maf.gz	01a4e2bbec4cd3eb77aab0f47ad8cc52	28159	validated
45b9156f-25d5-49d9-9617-d2e706e75e8a	45b9156f-25d5-49d9-9617-d2e706e75e8a/9588303c-5b8c-4388-913a-b71f48e9810f.wxs.aliquot_ensemble_masked.maf.gz	36452dcbd99642b4abd791f480ab2496	21735	validated
466b0dce-e324-46cf-957a-3375a0fce311	466b0dce-e324-46cf-957a-3375a0fce311/d8622392-669d-4bb1-b2fc-982e7d832fb6.wxs.aliquot_ensemble_masked.maf.gz	a140c81b7f7c0270402bcb7857caffec	3967	validated
4812f684-c1a4-4e4b-b8a6-d1f0c1b4b63d	4812f684-c1a4-4e4b-b8a6-d1f0c1b4b63d/968ca25b-c819-4834-b239-4c89daab9c37.wxs.aliquot_ensemble_masked.maf.gz	55323cf942ab751c5c2267ba68fe1b45	1138	validated
4853b47f-d1cb-4dd4-80d5-d230c81e7ca0	4853b47f-d1cb-4dd4-80d5-d230c81e7ca0/ed2b3215-a2d9-419f-932b-0071b103f83d.wxs.aliquot_ensemble_masked.maf.gz	fdb5d0f5cf6c35af31a48c2824be5b06	29778	validated
4e34ab55-9783-4466-880e-87610de9b338	4e34ab55-9783-4466-880e-87610de9b338/4da6482a-9223-4fdd-aad4-902b93b76335.wxs.aliquot_ensemble_masked.maf.gz	aa51e2c2853f67e0380dfd2aec1132b8	3179	validated
4eb5a790-7392-479d-b717-a924bd1c4b67	4eb5a790-7392-479d-b717-a924bd1c4b67/dffd7015-436c-4127-846e-0dd30fe07162.wxs.aliquot_ensemble_masked.maf.gz	421f3e466f67da930734ffc18fcd516c	14209	validated
